Monitoring geth process only
Enclave : local-eth-testnet
Service : el-1-geth-lighthouse
PID     : 8
Interval: 2s

timestamp            pid      cpu(%)       rss(MiB)     mem(%)      
2026-03-27 12:59:24  8        0.00         65.90        0.42        
2026-03-27 12:59:26  8        0.46         65.91        0.42        
2026-03-27 12:59:29  8        0.00         65.93        0.42        
2026-03-27 12:59:31  8        0.00         66.25        0.42        
2026-03-27 12:59:33  8        0.00         66.25        0.42        
2026-03-27 12:59:36  8        0.00         66.25        0.42        
2026-03-27 12:59:38  8        14.11        80.82        0.52        
2026-03-27 12:59:40  8        0.00         80.82        0.52        
2026-03-27 12:59:43  8        0.00         80.82        0.52        
2026-03-27 12:59:45  8        0.00         80.82        0.52        
2026-03-27 12:59:48  8        0.46         80.82        0.52        
2026-03-27 12:59:50  8        0.46         85.39        0.54        
2026-03-27 12:59:52  8        0.00         85.39        0.54        
2026-03-27 12:59:54  8        0.00         85.39        0.54        
2026-03-27 12:59:57  8        0.00         85.40        0.54        
2026-03-27 12:59:59  8        0.00         85.40        0.54        
2026-03-27 13:00:01  8        0.93         84.79        0.54        
2026-03-27 13:00:04  8        0.00         84.79        0.54        
2026-03-27 13:00:06  8        0.00         84.79        0.54        
2026-03-27 13:00:08  8        0.00         84.79        0.54        
2026-03-27 13:00:11  8        0.00         84.80        0.54        
2026-03-27 13:00:13  8        0.93         85.57        0.55        
2026-03-27 13:00:15  8        0.00         85.57        0.55        
2026-03-27 13:00:18  8        0.00         85.57        0.55        
2026-03-27 13:00:20  8        0.00         85.57        0.55        
2026-03-27 13:00:22  8        0.00         85.58        0.55        
2026-03-27 13:00:25  8        0.92         88.37        0.56        
2026-03-27 13:00:27  8        0.00         88.37        0.56        
2026-03-27 13:00:29  8        0.00         88.37        0.56        
2026-03-27 13:00:32  8        0.46         88.37        0.56        
2026-03-27 13:00:34  8        0.00         88.38        0.56        
2026-03-27 13:00:36  8        0.00         88.38        0.56        
2026-03-27 13:00:39  8        0.46         90.38        0.58        
2026-03-27 13:00:41  8        0.00         90.38        0.58        
2026-03-27 13:00:43  8        0.46         90.38        0.58        
2026-03-27 13:00:46  8        0.00         90.39        0.58        
2026-03-27 13:00:48  8        0.00         90.40        0.58        
2026-03-27 13:00:50  8        0.92         90.41        0.58        
2026-03-27 13:00:53  8        0.00         90.41        0.58        
2026-03-27 13:00:55  8        0.00         90.41        0.58        
2026-03-27 13:00:57  8        0.00         90.42        0.58        
2026-03-27 13:01:00  8        0.00         90.42        0.58        
2026-03-27 13:01:02  8        0.46         92.43        0.59        
2026-03-27 13:01:04  8        0.00         92.43        0.59        
2026-03-27 13:01:07  8        0.00         92.43        0.59        
2026-03-27 13:01:09  8        0.00         92.43        0.59        
2026-03-27 13:01:11  8        0.00         92.43        0.59        
2026-03-27 13:01:14  8        1.39         92.45        0.59        
2026-03-27 13:01:16  8        0.00         92.45        0.59        
2026-03-27 13:01:18  8        0.00         92.45        0.59        
2026-03-27 13:01:21  8        0.00         92.45        0.59        
2026-03-27 13:01:23  8        0.00         92.45        0.59        
2026-03-27 13:01:25  8        0.93         94.72        0.60        
2026-03-27 13:01:27  8        0.00         94.72        0.60        
2026-03-27 13:01:30  8        0.00         94.72        0.60        
2026-03-27 13:01:32  8        0.47         94.72        0.60        
2026-03-27 13:01:34  8        0.00         94.73        0.60        
2026-03-27 13:01:37  8        0.00         94.73        0.60        
2026-03-27 13:01:39  8        0.00         94.73        0.60        
2026-03-27 13:01:41  8        0.00         94.73        0.60        
2026-03-27 13:01:44  8        0.00         94.73        0.60        
2026-03-27 13:01:46  8        0.00         94.74        0.60        
2026-03-27 13:01:48  8        0.00         94.74        0.60        
2026-03-27 13:01:51  8        1.39         97.77        0.62        
2026-03-27 13:01:53  8        0.00         97.77        0.62        
2026-03-27 13:01:55  8        0.00         97.77        0.62        
2026-03-27 13:01:58  8        0.00         97.78        0.62        
2026-03-27 13:02:00  8        0.00         97.78        0.62        
2026-03-27 13:02:02  8        0.46         97.78        0.62        
2026-03-27 13:02:05  8        0.00         97.78        0.62        
2026-03-27 13:02:07  8        0.00         97.78        0.62        
2026-03-27 13:02:09  8        0.46         97.79        0.62        
2026-03-27 13:02:12  8        0.00         97.79        0.62        
2026-03-27 13:02:14  8        0.93         97.80        0.62        
2026-03-27 13:02:16  8        0.00         97.80        0.62        
2026-03-27 13:02:19  8        0.00         97.80        0.62        
2026-03-27 13:02:21  8        0.00         97.80        0.62        
2026-03-27 13:02:23  8        0.00         97.80        0.62        
2026-03-27 13:02:26  8        0.92         97.81        0.62        
2026-03-27 13:02:28  8        0.00         97.81        0.62        
2026-03-27 13:02:30  8        0.00         98.36        0.63        
2026-03-27 13:02:33  8        0.00         98.37        0.63        
2026-03-27 13:02:35  8        0.93         98.06        0.63        
2026-03-27 13:02:37  8        0.00         98.06        0.63        
2026-03-27 13:02:40  8        0.00         98.06        0.63        
2026-03-27 13:02:42  8        0.00         98.06        0.63        
2026-03-27 13:02:44  8        0.00         98.06        0.63        
2026-03-27 13:02:47  8        0.47         98.06        0.63        
2026-03-27 13:02:49  8        0.93         98.06        0.63        
2026-03-27 13:02:51  8        0.00         98.06        0.63        
2026-03-27 13:02:53  8        0.00         98.06        0.63        
